chembl_id,name,smiles,ic50_nM,pchembl_value,mw,alogp,hba,hbd,psa,rtb,ro5_violations
CHEMBL5199678,,CCc1cc(Nc2ncc(Br)c(Nc3ccc4ncnn4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CC(COC)C2)CC1,0.1,10.00,698.61,5.14,12,2,122.04,11,3
CHEMBL5209094,,CCc1cc(Nc2ncc(Br)c(Nc3ccn4ncnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(CC)CC2)CC1,0.1,10.00,711.65,5.19,12,2,116.05,10,3
CHEMBL5206715,,CCc1cc(Nc2ncc(Br)c(Nc3ccc4nccnc4c3P(C)(C)=O)n2)c(OC)cc1N1CCC(N2CCN(CCS(C)(=O)=O)CC2)CC1,0.1,10.00,800.76,5.12,13,2,145.78,12,3
CHEMBL55729,,Nc1ccc2cncnc2c1,0.1,10.00,145.17,1.21,3,1,51.80,0,0
CHEMBL5875012,,CCN1CCN(Cc2ccc(C(=O)N[C@@H]3[C@H]4Oc5ccc(Oc6ccnc7c6CCC(=O)N7)cc5[C@@H]34)cc2C(F)(F)F)CC1,0.1,10.00,607.63,4.57,7,2,96.03,7,1
CHEMBL5415311,,COc1cc(N2CCC(N3CC(F)(CO)C3)CC2)c(C)cc1Nc1ncc(Br)c(Nc2ccc3nccnc3c2P(C)(C)=O)n1,0.1,10.00,699.57,5.22,11,3,128.63,9,3
CHEMBL5220529,,CCC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(OCC(C)C)c23)c1,0.1,,512.66,5.43,6,2,86.38,8,2
CHEMBL5220645,,CCC(=O)Nc1cccc(-c2c(-c3ccc(N4CCN(C)CC4)cc3)[nH]c3ncnc(OC(C)C)c23)c1,0.1,10.00,498.63,5.18,6,2,86.38,7,1
CHEMBL5196360,,CN1CCC(c2ccc(-c3ccc4ncn(C(C(=O)Nc5nccs5)c5ccccc5)c(=O)c4c3F)cc2)CC1,0.1,10.00,553.66,5.70,7,1,80.12,6,2
CHEMBL4748367,,CN(C)CCNCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1F,0.1,10.00,448.55,3.56,6,4,89.10,10,0
CHEMBL4787951,,COc1cc(CNCCN2CCOCC2)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1,0.1,10.00,502.62,3.20,8,4,107.56,11,1
CHEMBL4759003,,COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1,0.1,10.00,444.58,4.46,6,3,78.10,10,0
CHEMBL941,IMATINIB,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,0.11,9.96,493.62,4.59,7,2,86.28,7,0
